Logger, 5287779394:         	Automatically truncated logfile to 1048576
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
SessionPaths, 5287779394:   	Waiting for exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.safe.php.lock...
